elapsed_time_s,elapsed_time_min,phase,is_event_point,semi_major_axis_m,eccentricity,inclination_deg,raan_deg,argument_of_perigee_deg,true_anomaly_deg,position_x_m,position_y_m,position_z_m,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,subsatellite_longitude_deg,subsatellite_latitude_deg,subsatellite_altitude_m,orbit_height_m,mass_kg
148920.0,2482.0,coast,0,32132360.605398066,0.6271246329244693,9.704892259675958,348.26928627949127,217.70202267802597,220.03325582558878,15144517.37798036,33748478.81199846,6177735.904299386,-2885.4165467150115,-692.5206479511573,-216.28975752425382,163.63320322767532,9.49193534834884,31125515.165587693,31124935.202430107,4509.2060765450315
148980.0,2483.0,coast,0,32132367.479460947,0.6271247402711511,9.70489092191028,348.2692494398547,217.70204794996422,220.24936136554598,14971186.563097918,33706467.345508926,6164674.289670517,-2892.2741695299524,-707.8808751570666,-219.1005219806305,163.60146669712583,9.499752406900997,31015830.392436404,31015249.484221242,4509.2060765450315
149040.0,2484.0,coast,0,32132374.467102926,0.6271248492964473,9.704889594935706,348.26921221379655,217.70207350555333,220.46674132924866,14797444.857261667,33663530.77580232,6151443.464441243,-2899.1128105047533,-723.3576620224358,-221.93014757278868,163.5710312564583,9.507478320261379,30905654.35599461,30905072.51305078,4509.2060765450315
149100.0,2485.0,coast,0,32132381.570785876,0.6271249600361968,9.704888279174753,348.26917459556955,217.702099348985,220.6854128022167,14623293.41780287,33619662.06582886,6138042.290303209,-2905.9318525898407,-738.9524615671165,-224.77885620804756,163.54191422252256,9.515111136027,30794985.738489173,30794402.971408874,4509.2060765450315
149160.0,2486.0,coast,0,32132388.79303865,0.6271250725272078,9.704886975063044,348.26913657932073,217.70212548452923,220.90539317494168,14448733.439625157,33574854.09063054,6124469.615530947,-2912.730660328895,-754.6667511250491,-227.64687322629447,163.51413321864538,9.522648851940664,30683823.218737323,30683239.538382463,4509.2060765450315
149220.0,2487.0,coast,0,32132396.136459257,0.6271251868072898,9.704885683050378,348.2690981590895,217.70215191653583,221.12670014990783,14273766.156325964,33529099.635867756,6110724.274774082,-2919.5085792875366,-770.5020328312963,-230.5344274617047,163.4877061816053,9.530089414463536,30572165.472367086,30571580.88987598,4509.2060765450315
149280.0,2488.0,coast,0,32132403.603717126,0.6271253029152853,9.704884403600643,348.269059328805,217.7021786494362,221.34935174880655,14098392.841352876,33482391.39631635,6096805.0888457885,-2926.2649354622013,-786.4598341198614,-233.4417513055787,163.4626513687972,9.53743071730101,30460011.172049303,30459425.69884342,4509.2060765450315
149340.0,2489.0,coast,0,32132411.19755541,0.6271254208911038,9.704883137192656,348.26902008228456,217.70220568774508,221.57336631995088,13922614.809195995,33434721.97433445,6082710.8645074535,-2932.9990346684317,-802.5417082325198,-236.36908077030913,163.43898736559328,9.544670599880156,30347358.987741295,30346772.63553235,4509.2060765450315
149400.0,2490.0,coast,0,32132418.92079344,0.6271255407757571,9.70488188432049,348.26898041323057,217.7022330360624,221.79876254589615,13746433.416617692,33386083.878298484,6068440.394249464,-2939.7101619077876,-818.7492347389016,-239.31665555448933,163.41673309290616,9.551806845776992,30234207.58694326,30233620.367740363,4509.2060765450315
149460.0,2491.0,coast,0,32132426.776329193,0.6271256626113951,9.704880645494173,348.26894031522886,217.7022606990752,222.025559451274,13569850.063920991,33336469.521007597,6053992.456068053,-2946.3975807125594,-835.0840200680594,-242.28471910917395,163.39590781496042,9.558837181091672,30120555.634967465,30119967.56108451,4509.2060765450315
149520.0,2492.0,coast,0,32132434.76714189,0.6271257864413439,9.704879421240001,348.2688997817458,217.70228868155917,222.25377641084643,13392866.196257953,33285871.21805587,6039365.813238128,-2953.0605324674057,-851.5476980517641,-245.27351870530217,163.37653114727846,9.565759272769748,30006401.795221005,30005812.879284278,4509.2060765450315
149580.0,2493.0,coast,0,32132442.896294747,0.6271259123101445,9.70487821210114,348.26885880612616,217.70231698838103,222.4834331577864,13215483.304979488,33234281.186171524,6024559.214082039,-2959.6982357070196,-868.1419304797697,-248.2833055022929,163.3586230648898,9.57257072686743,29891744.729502812,29891154.98445878,4509.2060765450315
149640.0,2494.0,coast,0,32132451.166937776,0.6271260402635935,9.70487701863837,348.2688173815905,217.70234562450023,222.71454979219362,13037702.929028044,33181691.541522514,6009571.39173417,-2966.309885388886,-884.8684076672921,-251.31433461781987,163.3422039107685,9.57926908675875,29776583.09831536,29775992.53743869,4509.2060765450315
149700.0,2495.0,coast,0,32132459.582310658,0.627126170348786,9.704875841430406,348.26877550123265,217.70237459497093,222.94714678985173,12859526.656374695,33128094.297987647,5994401.063901328,-2972.894652140141,-901.7288490349483,-254.36686519877398,163.32729440450657,9.58585183128252,29660915.561191846,29660324.1980936,4509.2060765450315
149760.0,2496.0,coast,0,32132468.145745825,0.6271263026141582,9.704874681074669,348.2687331580172,217.70240390494445,223.18124501123623,12680956.125502229,33073481.365392547,5979046.932618828,-2979.4516814775166,-918.7250037014032,-257.44116049341886,163.31391565123374,9.592316372826776,29544740.777039412,29544148.62567555,4509.2060765450315
149820.0,2497.0,coast,0,32132476.860671587,0.6271264371095336,9.704873538188059,348.26869034477676,217.7024335596709,223.4168657107803,12501993.02693587,33017844.547709677,5963507.684002217,-2985.980092999305,-935.8586510889739,-260.53748792474454,163.30208915078595,9.598660055348327,29428057.40449931,29427464.479179353,4509.2060765450315
149880.0,2498.0,coast,0,32132485.73061531,0.6271265738861708,9.70487241340732,348.2686470542095,217.70246356450164,223.65403054640797,12322639.104823355,32961175.541221596,5947781.987994562,-2992.47897954822,-953.1316015424406,-263.65611916502127,163.29183680713743,9.604880152325006,29310864.102318496,29310270.417720467,4509.2060765450315
149940.0,2499.0,coast,0,32132494.75920703,0.6271267129968108,9.70487130738992,348.26860327887624,217.70249392489143,223.8927615893423,12142896.158566136,32903465.932646748,5931868.498109223,-2998.947406344002,-970.5456969613139,-266.7973302115568,163.2831809380982,9.61097386463804,29193159.52976983,29192565.100931384,4509.2060765450315
150000.0,2500.0,coast,0,32132503.950182755,0.6271268544957308,9.704870220814716,348.2685590111977,217.70252464640078,224.13308133419946,11962766.04450355,32844707.197226845,5915765.851168051,-3005.3844100845445,-988.1028114458089,-269.9614014636548,163.27614428529228,9.616938318381868,29074942.34703112,29074347.189376965,4509.2060765450315
150060.0,2501.0,coast,0,32132513.307388294,0.6271269984387949,9.704869154382715,348.2685142434517,217.70255573469805,224.37501270937634,11782250.677651929,32784890.69677509,5899472.667034925,-3011.788998014284,-1005.8048519567749,-273.1486178007735,163.27075002442007,9.622770562598655,28956211.215644386,28955615.34499003,4509.2060765450315
